,comment,level,label,cleaned
1822,До Вас сложно дописаться ) ) ) ,simpleTree,вопросы о сервисе,До Вас сложно дописаться о о о
1823,"Не получается , напишите , пожалуйста , что-нибудь в сообщения сообщества , тогда смогу переслать . ",simpleTree,другие,Не получается о напишите о пожалуйста о что-нибудь в сообщения сообщества о тогда смогу переслать .
1824,"Здравствуйте , **** ! Что-то заросы по товарам пришли сегодня в сообщения сообщества . Сейчас я Вам их все перешлю . ",simpleTree,другие,Здравствуйте о **** о Что-то засоры по товарам пришли сегодня в сообщения сообщества . Сейчас я Вам их все перешлю .
1825,"Здравствуйте ! Хорошее дело , разместим ",simpleTree,другие,Здравствуйте о Хорошее дело о разместим
1826,"у вас никаких акций перед новым годом не проходит случайно ? Может быть написать что-то об этом , если проходят . ",simpleTree,вопросы о сервисе,у вас никаких акций перед новым годом не проходит случайно о Может быть написать что-то об этом о если проходят .
1827,"нашёл , они в ожидаемых пока находятся . ******** ***** *********** ",simpleTree,другие,нашил о они в ожидаемых пока находятся . ******** ***** ***********
1828,"Странно , не приходили . Минуту ",simpleTree,другие,Странно о не приходили . Минуту
1829,"Здравствуйте . **** , что вы решили , хотите ли дальше размещать свои товары у нас ? ",simpleTree,другие,Здравствуйте . **** о что вы решили о хотите ли дальше размещать свои товары у нас о
1830,"Конечно идут , даже мне пишут иногда ",simpleTree,другие,Конечно идут о даже мне пишут иногда
1831,Добрый день . Товары отключил . ,simpleTree,другие,Добрый день . Товары отключил .
1832,"Здравствуйте ! Отличное новогоднее фото ... Что-то вы мне вообще не пишете , не по ассортименту , не по другим вопросам ",simpleTree,другие,Здравствуйте о Отличное новогоднее фото ... Что-то вы мне вообще не пишете о не по ассортименту о не по другим вопросам
1833,да ,simpleTree,общеразговорные,да
1834,"Добрый день , **** ! Вы будете продлевать размещение ? ",simpleTree,другие,Добрый день о **** о Вы будете продлевать размещение о
1835,Главное - успевать шить халаты ) ) ) ,simpleTree,другие,Главное о успевать шить халаты о о о
1836,"Здравствуйте *** ! нам нужен комбез *** , рост *** ! ! ! темный ( мы вам выше писали ) И еще блузу и брюки там ** р ( пораметры выше ) ",simpleTree,вопросы о сервисе,Здравствуйте *** о нам нужен комбез *** о рост *** о о о темный о мы вам выше писали о И еще блузу и брюки там ** ро о параметры выше о
1837,а еще какой рост ? ,simpleTree,другие,а еще какой рост о
1838,вы как вы думаете надо ** брать ? ,simpleTree,другие,вы как вы думаете надо ** брать о
1839,гр ** бедр ** тал ** ,simpleTree,другие,гр ** бедра ** тал **
1840,и еще надо зауженные к низу ,simpleTree,другие,и еще надо зауженные к низу
1841,но она в плечах ** берет ,simpleTree,другие,но она в плечах ** берет
1842,девушка очень худенькая ,simpleTree,другие,девушка очень худенькая
1843,это не мне ,simpleTree,другие,это не мне
1844,второе ,simpleTree,другие,второе
1845,темный ,simpleTree,другие,темный
1846,Спасибо ) ) ) ,simpleTree,общеразговорные,Спасибо о о о
1847,"да , деньги пришли . а сколько будет идти посылка ? ",simpleTree,вопросы о сервисе,да о деньги пришли . а сколько будет идти посылка о
1848,? ? ? ,simpleTree,другие,о о о
1849,***** . П ,simpleTree,другие,***** . ЧП
1850,пришли ? ,simpleTree,другие,пришли о
1851,*** я перевела деньги ,simpleTree,другие,*** я перевела деньги
1852,ок ,simpleTree,общеразговорные,ко
1853,Я такой ) ) ) я тоже по всем вам скучаю и вспоминаю постоянно ) ) ) ,simpleTree,другие,Я такой о о о я тоже по всем вам скучаю и вспоминаю постоянно о о о
1854,"А ты умничка ! Я знал , что на тебя можно положиться ) ) ) ",simpleTree,другие,А ты умника о Я знал о что на тебя можно положиться о о о
1855,Лааадно ... уговорили ... приеду ) ) ) ,simpleTree,другие,Ладно ... уговорили ... приеду о о о
1856,"Ну так , ***** полайкала что-то там ) ) ) первое что на глаза попалось ) ) ) ",simpleTree,другие,Ну так о ***** полакала что-то там о о о первое что на глаза попалось о о о
1857,У меня спортивный интерес ) ) ) ,simpleTree,другие,У меня спортивный интерес о о о
1858,"Да что ты блин заладила , расскажу да расскажу ... ",simpleTree,другие,Да что ты блин заладила о расскажу да расскажу ...
1859,********* бы приглянулся ) ) ,simpleTree,другие,********* бы приглянулся о о
1860,Это старческое брюзжание у меня ) ) ) а так я ещё ого-го ) ) ,simpleTree,другие,Это старческое брюзжание у меня о о о а так я еще ого-го о о
1861,Заказовать можно ? ,simpleTree,вопросы о сервисе,Заказывать можно о
1862,Должна буду оплатить все при получении да ? впервые так заказ делаю ... ,simpleTree,вопросы о сервисе,Должна буду оплатить все при получении да о впервые так заказ делаю ...
1863,оплату получили ,simpleTree,вопросы о сервисе,оплату получили
1864,Хорошо оплата на яд ? ,simpleTree,вопросы о сервисе,Хорошо оплата на яд о
1865,С пометкой реклама репостить ? ,simpleTree,другие,С пометкой реклама раскрепостить о
1866,"Добрый день , да есть место ",simpleTree,другие,Добрый день о да есть место
1867,Чт утро и пятница вечер приняли ,simpleTree,другие,Чит утро и пятница вечер приняли
1868,"Оплату получили , ",simpleTree,другие,Оплату получили о
1869,"Хорошо , отпишитесь как переведете ",simpleTree,другие,Хорошо о отпишитесь как переведете
1870,"Добрый день , да - и в четверг и в пятницу есть места ",simpleTree,другие,Добрый день о да о и в четверг и в пятницу есть места
1871,Ничего го страшного ) бывает ,simpleTree,другие,Ничего го страшного о бывает
1872,На сегодня готово ,simpleTree,другие,На сегодня готово
1873,"А вы его оплатили , просто в диалоге нет информации ? ) ",simpleTree,другие,А вы его оплатили о просто в диалоге нет информации о о
1874,"Добрый день , да можно ",simpleTree,общеразговорные,Добрый день о да можно
1875,"Добрый день , да ",simpleTree,общеразговорные,Добрый день о да
1876,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
1877,Все хорошо ) ,simpleTree,общеразговорные,Все хорошо о
1878,Да не ) ,simpleTree,общеразговорные,Да не о
1879,Хорошо ) ,simpleTree,общеразговорные,Хорошо о
1880,"** подошёл . Остаётся вопрос , что делать со вторым халатом :D ",simpleTree,вопросы о сервисе,** подошел . Остается вопрос о что делать со вторым халатом о О
1881,:) ,simpleTree,другие,о о
1882,В пункт выдачи же доставят ? ,simpleTree,вопросы о сервисе,В пункт выдачи же доставят о
1883,Да :) ,simpleTree,общеразговорные,Да о о
1884,****** ,simpleTree,другие,******
1885,Когда как ,simpleTree,другие,Когда как
1886,"** , ** беру обычно ",simpleTree,другие,** о ** беру обычно
1887,А есть таблица для определения ? ,simpleTree,другие,А есть таблица для определения о
1888,Прекрасно ! ) ,simpleTree,общеразговорные,Прекрасно о о
1889,Получается на пять постов - халат ,simpleTree,другие,Получается на пять постов о халат
1890,Хочу ещё один бартер предложить ) ,simpleTree,другие,Хочу еще один бартер предложить о
1891,У меня есть ещё предложение для вас ) ,simpleTree,другие,У меня есть еще предложение для вас о
1892,Свободное ) ,simpleTree,другие,Свободное о
1893,"Ну насильно мужика тоже не женишь , хотел бы женился бы уже ) ",simpleTree,другие,Ну насильно мужика тоже не женишь о хотел бы женился бы уже о
1894,) ) ) ещё священника позовём ) ,simpleTree,другие,о о о еще священника позовем о
1895,**** уж более тонкий намек ,simpleTree,другие,**** уж более тонкий намек
1896,Он будет удивлён как минимум ,simpleTree,другие,Он будет удивлен как минимум
1897,****** ) ) ,simpleTree,другие,****** о о
1898,) ) ) я тоже хочу погулять на своей свадьбе ! ,simpleTree,другие,о о о я тоже хочу погулять на своей свадьбе о
1899,"Я вроде и хочу , но с другой стороны не готова , мне с одним пока тяжело справиться ) ",simpleTree,другие,Я вроде и хочу о но с другой стороны не готова о мне с одним пока тяжело справиться о
1900,Принципы какие-то ,simpleTree,другие,Принципы какие-то
1901,Он против брака ,simpleTree,другие,Он против брака
1902,Я тоже не готова ) ,simpleTree,другие,Я тоже не готова о
1903,Меня вот **** хочет в декрет отправить ,simpleTree,другие,Меня вот **** хочет в декрет отправить
1904,А если девочка ? ) ,simpleTree,другие,А если девочка о о
1905,Может сбой ,simpleTree,другие,Может сбой
1906,****** ) а ***** ? ,simpleTree,другие,****** о а ***** о
1907,) ) ) вот это срок ! ,simpleTree,другие,о о о вот это срок о
1908,Терпение терпение терпение ) ) ,simpleTree,другие,Терпение терпение терпение о о
1909,Готово ,simpleTree,общеразговорные,Готово
1910,Можно ,simpleTree,другие,Можно
1911,Понял ,simpleTree,общеразговорные,Понял
1912,Понял . Жду пост . ,simpleTree,другие,Понял . Жду пост .
1913,"Добрый день , да , конечно ",simpleTree,общеразговорные,Добрый день о да о конечно
1914,Добрый вечер . А пост вы мне так и не скинули . ,simpleTree,другие,Добрый вечер . А пост вы мне так и не скинули .
1915,Отлично . Тогда **** . скидка для вас на постоянной основе . ,simpleTree,другие,Отлично . Тогда **** . скидка для вас на постоянной основе .
1916,В каких группах Вы желаете ? ! ,simpleTree,другие,В каких группах Вы желаете о о
1917,Добрый день . Конечно ! ,simpleTree,общеразговорные,Добрый день . Конечно о
1918,Хорошо . Сделаем ,simpleTree,общеразговорные,Хорошо . Сделаем
1919,Понял . Жду пост и дальнейших указаний ! ,simpleTree,другие,Понял . Жду пост и дальнейших указаний о
1920,"Делал конкурсный ролик для фирмы с похожей тематикой , ** *** просмотров насобирал ",simpleTree,другие,Делал конкурсный ролик для фирмы с похожей тематикой о ** *** просмотров насобирал
1921,"+ есть канал на ***** , где тоже все можно монетизировать . Но он развивается , там только около * тыс . подписчиков , но *** *** просмотров ! ",simpleTree,другие,о есть канал на ***** о где тоже все можно магнетизировать . Но он развивается о там только около о тыс . подписчиков о но *** *** просмотров о
1922,"Вот , я вам прайс на **** год скину : Вконтакте : * . http://vk.com/iam_medical_student - **** . * . http://vk.com/medic_present - **** . * . http://vk.com/medic_smart - **** . * . https://vk.com/med_kot - **** . Статистика : * . https://vk.com/stats?gid=64964821 * . https://vk.com/stats?gid=107626558 * . htps :/ / vk.com/stats?gid=121816651 * . https://vk.com/stats?gid=136547353 * час в топе / ** часа в ленте . Инстаграм : * . https://www.instagram.com/medic_smart - **** . * . https://www.instagram.com/best_medics/ - **** . * часа в топе / ** в ленте ",simpleTree,другие,Вот о я вам прайс на **** год скину о Контакте о о . http о //vk.com/iam_medical_student о **** . о . http о //vk.com/medic_present о **** . о . http о //vk.com/medic_smart о **** . о . http о //vk.com/med_kot о **** . Статистика о о . http о //vk.com/stats о gid=64964821 о . http о //vk.com/stats о gid=107626558 о . htps о о о vk.com/stats о gid=121816651 о . http о //vk.com/stats о gid=136547353 о час в топе о ** часа в ленте . Инстинктам о о . http о //www.instagram.com/medic_smart о **** . о . http о //www.instagram.com/best_medics/ о **** . о часа в топе о ** в ленте
1923,Но можно и скидочку сделать . Вы у нас желанный парнер ,simpleTree,другие,Но можно и скидочку сделать . Вы у нас желанный парне
1924,**** ,simpleTree,другие,****
1925,"Если есть желание , то можно в нескольких группах . Тут уже *** *** - https://vk.com/medic_present ",simpleTree,другие,Если есть желание о то можно в нескольких группах . Тут уже *** *** о http о //vk.com/medic_present
1926,"В инстагарме можем сегодня , а в вк ближайшее место есть на понедельник ",simpleTree,другие,В инструментарий можем сегодня о а в во ближайшее место есть на понедельник
1927,добрый день ! ,simpleTree,общеразговорные,добрый день о
1928,"добрый день ! Конкурс проведен , победители в последнем комментарии - https://vk.com/wall-47591566_172075?reply=172621 ",simpleTree,другие,добрый день о Конкурс проведен о победители в последнем комментарии о http о //vk.com/wall-47591566_172075 о reply=172621
1929,"не , я сейчас сам все сделаю ",simpleTree,другие,не о я сейчас сам все сделаю
1930,"хорошо , в таком случае я готовлю пост аналогичный https://vk.com/wall-49517102_69834 , а с вас призы победителям , верно ? ",simpleTree,другие,хорошо о в таком случае я готовлю пост аналогичный http о //vk.com/wall-49517102_69834 о а с вас призы победителям о верно о
1931,"**** , добрый день , мы бы хотели провести конкурс аналогичный https://vk.com/wall-49517102_69834 , интересно ли вам такое предложение ? ",simpleTree,другие,**** о добрый день о мы бы хотели провести конкурс аналогичный http о //vk.com/wall-49517102_69834 о интересно ли вам такое предложение о
1932,Тогда все пришло ) ,simpleTree,вопросы о сервисе,Тогда все пришло о
1933,В ***** будет ваш пост ,simpleTree,другие,В ***** будет ваш пост
1934,Вы на ****** кинули ? ,simpleTree,другие,Вы на ****** кинули о
1935,хорошо ,simpleTree,общеразговорные,хорошо
1936,"Добрый вечер , простите , нахожусь в отпуске , не смог вовремя ответить . Если хотите , могу предложить ***** другой день ",simpleTree,другие,Добрый вечер о простите о нахожусь в отпуске о не смог вовремя ответить . Если хотите о могу предложить ***** другой день
1937,Цены с прошлого раза не менялись https://docs.google.com/spreadsheets/d/1Ct4lmKGeXV8Dj3R1MPCQWh6qFVzm1Q3ozwbVDMAJ4IE/edit?usp=sharing/ ,simpleTree,другие,Цены с прошлого раза не менялись http о //docs.google.com/spreadsheets/d/1Ct4lmKGeXV8Dj3R1MPCQWh6qFVzm1Q3ozwbVDMAJ4IE/edit о usp=sharing/
1938,"Добрый день , можно ",simpleTree,общеразговорные,Добрый день о можно
1939,"да , остаток получил , посты вчера опубликовал ",simpleTree,другие,да о остаток получил о посты вчера опубликовал
1940,"сегодня была какая-то оплата на ***** , не знаю от кого ",simpleTree,другие,сегодня была какая-то оплата на ***** о не знаю от кого
1941,удалось уточнить ? ,simpleTree,другие,удалось уточнить о
1942,оплачивали уже ? ,simpleTree,другие,оплачивали уже о
1943,пост нашел ,simpleTree,другие,пост нашел
1944,добрый день ! Сегодня публикуемся ? ,simpleTree,другие,добрый день о Сегодня публикуемся о
1945,"Хорошо , договорились ",simpleTree,общеразговорные,Хорошо о договорились
1946,"Добрый день , ближайшее время можем только во вторник ",simpleTree,другие,Добрый день о ближайшее время можем только во вторник
1947,"Хорошо , в Инстаграм публикуем сегодня . Можем в вк на завтра запланировать ? ",simpleTree,другие,Хорошо о в Инстинктам публикуем сегодня . Можем в во на завтра запланировать о
1948,"Добрый день , можно ",simpleTree,общеразговорные,Добрый день о можно
1949,Какой пост для ********** ? ,simpleTree,другие,Какой пост для ********** о
1950,"Доброго времени суток , я снизил цены на рекламу на всё лето в моем сообществе vk.com/i_am_a_good_doctor Надеюсь , что Вы оцените ) Снизили прайс на ** % по всем позициям . С уважением , ***** . ",simpleTree,другие,Доброго времени суток о я снизил цены на рекламу на всё лето в моем сообществе vk.com/i_am_a_good_doctor Надеюсь о что Вы оцените о Снизили прайс на ** о по всем позициям . С уважением о ***** .
1951,*** ? ) ,simpleTree,другие,*** о о
1952,Жду пост в предложку или ссылку на репост ,simpleTree,другие,Жду пост в предложу или ссылку на репорт
1953,Отлично ) ближе еще спишемся ) ,simpleTree,другие,Отлично о ближе еще спишемся о
1954,"Насчет розыгрышей , если что - наша аудитория в вашем распоряжении . Условием розыгрыша сделаем уже вступление к Вам в группу , а не как впрошлый раз только в ********** . ",simpleTree,более 1 категории,Насчет розыгрышей о если что о наша аудитория в вашем распоряжении . Условием розыгрыша сделаем уже вступление к Вам в группу о а не как прошлый раз только в ********** .
1955,До **** числа как обещал скидка ,simpleTree,другие,До **** числа как обещал скидка
1956,"Добрый , Да , легко . **** для Вас ) ",simpleTree,другие,Добрый о Да о легко . **** для Вас о
1957,"И еще , всем нашим спонсорам до ***** . **** года цена за рекламный пост **** ",simpleTree,другие,И еще о всем нашим спонсорам до ***** . **** года цена за рекламный пост ****
1958,"*** , доброе утро ) победитель в конкурсе , который выиграл ваш приз : https://vk.com/id45369175 Вы свяжетесь с ней ? ",simpleTree,другие,*** о доброе утро о победитель в конкурсе о который выиграл ваш приз о http о //vk.com/id45369175 Вы свяжетесь с ней о
1959,Все кто лайкнуть - увидят ) ,simpleTree,другие,Все кто айкнуть о увидят о
1960,"Затем , когда пост наберет много Лайков и репостов в комментариях к нему я буду размещать подробно еще о каждом призе ) **** фото , коротко рекламу и снова ссылку на группу вк . ",simpleTree,другие,Затем о когда пост наберет много Лайков и репортов в комментариях к нему я буду размещать подробно еще о каждом призе о **** фото о коротко рекламу и снова ссылку на группу во .
1961,Классно ! Ваш приз размещу первым в списке ) ,simpleTree,другие,Классно о Ваш приз размещу первым в списке о
1962,"Какой пост ? Вы же один прислали и один оплатили вроде ) ничего не должны . Сегодня запускать буду розыгрыш . Если есть что в призы дать , то разместим и ваш приз и любую ссылку . Или на сайт или на группу вк . Этот пост будет * недели в закрепе у меня в группе . И каждый участник будет репостить на стены еще себе . Всего около ** призов будет ) ",simpleTree,другие,Какой пост о Вы же один прислали и один оплатили вроде о ничего не должны . Сегодня запускать буду розыгрыш . Если есть что в призы дать о то разместим и ваш приз и любую ссылку . Или на сайт или на группу во . Этот пост будет о недели в закрепе у меня в группе . И каждый участник будет раскрепостить на стены еще себе . Всего около ** призов будет о
1963,"Здравствуйте , Ищем спонсоров на очередной розыгрыш . От вас : ***** вариант приза . От нас : ссылка на ваш сайт или группу вк в посте розыгрыша , который будет репоститься на стены всеми участникам . Если заинтересует - пишите ) ",simpleTree,другие,Здравствуйте о Ищем спонсоров на очередной розыгрыш . От вас о ***** вариант приза . От нас о ссылка на ваш сайт или группу во в посте розыгрыша о который будет ре поститься на стены всеми участникам . Если заинтересует о пишите о
1964,Конечно ) ,simpleTree,общеразговорные,Конечно о
1965,Насчет завтра не решили ? ,simpleTree,другие,Насчет завтра не решили о
1966,Готово ,simpleTree,общеразговорные,Готово
1967,"Я знаю , а пост не прислали же ) ",simpleTree,другие,Я знаю о а пост не прислали же о
1968,*** ) ,simpleTree,другие,*** о
1969,Хорошо ) ,simpleTree,общеразговорные,Хорошо о
1970,Здравствуйте ,simpleTree,общеразговорные,Здравствуйте
1971,"Да , и там и там свободо ",simpleTree,другие,Да о и там и там свободно
1972,Ок ,simpleTree,общеразговорные,К
1973,Оу ) ,simpleTree,общеразговорные,У о
1974,Ок ) в предложку ,simpleTree,другие,К о в предложу
1975,"Здравствуйте , *** ! ",simpleTree,общеразговорные,Здравствуйте о *** о
1976,"Да , можем в ***** , можем после ***** . Где удобнее ? ) ",simpleTree,другие,Да о можем в ***** о можем после ***** . Где удобнее о о
1977,Жду пост на стену ,simpleTree,другие,Жду пост на стену
1978,поставил ******** по умолчанию ,simpleTree,другие,поставил ******** по умолчанию
1979,на какие времена ? ,simpleTree,другие,на какие времена о
1980,да пришло спасибо ,simpleTree,другие,да пришло спасибо
1981,Добрый день ! да пожалуйста ,simpleTree,общеразговорные,Добрый день о да пожалуйста
1982,"пришло , спасибо ",simpleTree,вопросы о сервисе,пришло о спасибо
1983,Добрый вечер ! Ссылку продлевать будете ? ,simpleTree,другие,Добрый вечер о Ссылку продлевать будете о
1984,сейчас ваш поставлю ,simpleTree,другие,сейчас ваш поставлю
1985,"прошу прощения , на СЕГОДНЯ как раз есть , а на завтра нет места ",simpleTree,другие,прошу прощения о на СЕГОДНЯ как раз есть о а на завтра нет места
1986,"ок , на пятницу тогда пришлите оплату сразу , чтоб я мог место за вами закрепит ",simpleTree,другие,ко о на пятницу тогда пришлите оплату сразу о чтоб я мог место за вами закрепит
1987,завтра ,simpleTree,общеразговорные,завтра
1988,"хотя нет , сегодня не получится ",simpleTree,другие,хотя нет о сегодня не получится
1989,поставил сейчас ,simpleTree,другие,поставил сейчас
1990,** сейчас на * часа топа и второй завтра вечером ? ,simpleTree,другие,** сейчас на о часа топа и второй завтра вечером о
1991,еще раз дату уточните ,simpleTree,другие,еще раз дату уточните
1992,*** р пришло ,simpleTree,другие,*** ро пришло
1993,ок ,simpleTree,общеразговорные,ко
1994,да можно ,simpleTree,общеразговорные,да можно
1995,да есть ,simpleTree,общеразговорные,да есть
1996,"все ок вижу , поставим ",simpleTree,другие,все ко вижу о поставим
1997,"ок , просто пока не могу посмотреть , скрин сможете прислать ? ",simpleTree,другие,ко о просто пока не могу посмотреть о скин сможете прислать о
1998,ок только там **** нужно ,simpleTree,другие,ко только там **** нужно
1999,**** р . месяц ,simpleTree,другие,**** ро . месяц
2000,"Забыл спросить , вы рекламу будете делать в блоке ссылок справа ? ",simpleTree,другие,Забыл спросить о вы рекламу будете делать в блоке ссылок справа о
2001,"лучше завтра , сегодня уже была реклама мед . одежды ",simpleTree,другие,лучше завтра о сегодня уже была реклама мед . одежды
2002,Вы хотите сегодня разместиться ? ,simpleTree,другие,Вы хотите сегодня разместиться о
2003,да можно ,simpleTree,общеразговорные,да можно
2004,есть возможность на сегодня ,simpleTree,другие,есть возможность на сегодня
2005,"Пришло , спасибо ! ",simpleTree,вопросы о сервисе,Пришло о спасибо о
2006,Здравствуйте ! Сегодня можно конечно . ,simpleTree,другие,Здравствуйте о Сегодня можно конечно .
2007,"окей , в ** опублику ",simpleTree,другие,коей о в ** публику
2008,Когда и какой пост ? ,simpleTree,другие,Когда и какой пост о
2009,Пришло ,simpleTree,вопросы о сервисе,Пришло
2010,Номер карты сбербанка **** **** ********* ,simpleTree,вопросы о сервисе,Номер карты сбербанка **** **** *********
2011,"Здравствуйте ! Да , конечно . ",simpleTree,общеразговорные,Здравствуйте о Да о конечно .
2012,хорошо ! Только пост потом не забудьте пожалуйста прислать ) ,simpleTree,другие,хорошо о Только пост потом не забудьте пожалуйста прислать о
2013,"Здравствуйте ! Да , сегодня с ***** свободно ",simpleTree,другие,Здравствуйте о Да о сегодня с ***** свободно
2014,"в предложке , имею в виду . ",simpleTree,другие,в пред ложке о имею в виду .
2015,Привет ! Поста еще в группе нет ,simpleTree,другие,Привет о Поста еще в группе нет
2016,"Да , пришла ! Во сколько завтра публиковать пост ? ",simpleTree,другие,Да о пришла о Во сколько завтра публиковать пост о
2017,"Здравствуйте ! Да , конечно можно ) ",simpleTree,общеразговорные,Здравствуйте о Да о конечно можно о
2018,Здравствуйте ! Хорошо ! ,simpleTree,общеразговорные,Здравствуйте о Хорошо о
2019,"Здравствуйте ! Да можем либо сегодня либо завтра , как вам удобно ",simpleTree,другие,Здравствуйте о Да можем либо сегодня либо завтра о как вам удобно
2020,Когда и какой пост публиковать ? ) P . S . деньги пришли ,simpleTree,другие,Когда и какой пост публиковать о о О . О . деньги пришли
2021,готово ,simpleTree,общеразговорные,готово
2022,Здравствуйте ! Получил ! ,simpleTree,вопросы о сервисе,Здравствуйте о Получил о
2023,Здравствуйте ! Да ,simpleTree,общеразговорные,Здравствуйте о Да
2024,Я увидела что вы про два написали поста и *** ₽ поэтому напомнила :) ,simpleTree,другие,Я увидела что вы про два написали поста и *** о поэтому напомнила о о
2025,Можно и утром будет висеть первая на стене ) ,simpleTree,другие,Можно и утром будет висеть первая на стене о
2026,Хорошо завтра в ** :) ,simpleTree,другие,Хорошо завтра в ** о о
2027,Во сколько завтра публикуем ? ) ,simpleTree,другие,Во сколько завтра публикуем о о
2028,Ваши денюжки пришли ,simpleTree,другие,Ваши денежки пришли
2029,Спасибо ,simpleTree,общеразговорные,Спасибо
2030,Вы ещё не скинули вашу рекламу ? ) ,simpleTree,другие,Вы еще не скинули вашу рекламу о о
2031,И вам спасибо :) ) всегда рады сотрудничать :) ,simpleTree,другие,И вам спасибо о о о всегда рады сотрудничать о о
2032,Я уже репостнула с синей группы ) ) ,simpleTree,другие,Я уже пострела с синей группы о о
2033,**** ,simpleTree,другие,****
2034,***** *********** ? ) ,simpleTree,другие,***** *********** о о
2035,Как вам удобнее ) ) ,simpleTree,другие,Как вам удобнее о о
2036,Хорошо :) ,simpleTree,общеразговорные,Хорошо о о
2037,Здравствуйте ! Рекламный пост у нас стоит *** ₽ ,simpleTree,другие,Здравствуйте о Рекламный пост у нас стоит *** о
2038,присылайте второй ,simpleTree,другие,присылайте второй
2039,"конечно , присылайте материалы , сегодня очень хорошая активность , охват более *** тысяч человек ",simpleTree,другие,конечно о присылайте материалы о сегодня очень хорошая активность о охват более *** тысяч человек
2040,ок ,simpleTree,общеразговорные,ко
2041,Здравствуйте . наделе есть свободные места ! ,simpleTree,другие,Здравствуйте . наделе есть свободные места о
2042,хорошо ,simpleTree,общеразговорные,хорошо
2043,Не забудьте прислать посты ,simpleTree,другие,Не забудьте прислать посты
2044,Присылайте посты ,simpleTree,другие,Присылайте посты
2045,"*** за два , один опубликовали вчера , только что - второй https://vk.com/msestra?w=wall-64925727_236313 ",simpleTree,другие,*** за два о один опубликовали вчера о только что о второй http о //vk.com/msestra о w=wall-64925727_236313
2046,да ,simpleTree,общеразговорные,да
2047,"Опубликовали , не забудьте оплатить ",simpleTree,другие,Опубликовали о не забудьте оплатить
2048,"Здравствуйте , да конечно ",simpleTree,общеразговорные,Здравствуйте о да конечно
2049,добавляйте второй ,simpleTree,другие,добавляйте второй
2050,Добавляйте посты в предложку ,simpleTree,другие,Добавляйте посты в предложу
2051,Да ,simpleTree,общеразговорные,Да
2052,Добрый день . Есть два места на этой неделе ,simpleTree,другие,Добрый день . Есть два места на этой неделе
2053,"Здравствуйте , на неделе есть два свободные места ( за *** ) ",simpleTree,другие,Здравствуйте о на неделе есть два свободные места о за *** о
2054,** постов - ***** . ** постов - ***** . ,simpleTree,другие,** постов о ***** . ** постов о ***** .
2055,"А вы не хотите приобрести у нас пакет постов ? ** или ** , это удобнее и дешевле . Можно публиковать по одному посту в день , а можно - в неделю , в любое время , кроме ***** ",simpleTree,другие,А вы не хотите приобрести у нас пакет постов о ** или ** о это удобнее и дешевле . Можно публиковать по одному посту в день о а можно о в неделю о в любое время о кроме *****
2056,не забудьте прислать посты ) ,simpleTree,другие,не забудьте прислать посты о
2057,Хорошо ,simpleTree,общеразговорные,Хорошо
2058,"Добрый вечер , у нас есть два места на сегодняшний вечер ( за праздничные **** ) , плюс ещё одно место которым вы ещё не воспользовались ( оплаченное ) , в ***** другой день . ",simpleTree,другие,Добрый вечер о у нас есть два места на сегодняшний вечер о за праздничные **** о о плюс еще одно место которым вы еще не воспользовались о оплаченное о о в ***** другой день .
2059,Конечно ,simpleTree,общеразговорные,Конечно
2060,"Меня устраивает длина ** см , возможно модель М133 укоротить ",simpleTree,вопросы о товаре,Меня устраивает длина ** см о возможно модель Магм укоротить
2061,Также интересные модели М19 - * и М130 . Какая длина для разм . ** . ,simpleTree,вопросы о товаре,Также интересные модели МВД о о и Магм . Какая длина для раз . ** .
2062,Здравствуйте ! Какая длина изделия ? Возможно изменение длины при заказе ? ,simpleTree,вопросы о товаре,Здравствуйте о Какая длина изделия о Возможно изменение длины при заказе о
2063,Здравствуйте скажите пожалуйста могу ли я у вас уточнить наличие размеров некоторых моделей ? ? ? ,simpleTree,вопросы о товаре,Здравствуйте скажите пожалуйста могу ли я у вас уточнить наличие размеров некоторых моделей о о о
2064,"Бедра - *** , грудь - *** . Раньше что носил не могу сказать , сильно похудел ",simpleTree,вопросы о товаре,Бедра о *** о грудь о *** . Раньше что носил не могу сказать о сильно похудел
2065,"И плюс минус отклонения ! и если этот костюм приталеннного кроя , то есть же и свободного кроя ( классические ) , значит и размерная сетка у них разная ? ",simpleTree,вопросы о товаре,И плюс минус отклонения о и если этот костюм приталенного кроя о то есть же и свободного кроя о классические о о значит и размерная сетка у них разная о
2066,Можно таблицу размеров ? ,simpleTree,вопросы о товаре,Можно таблицу размеров о
2067,"Замеряю , ппосмотрю - отпишусь ",simpleTree,вопросы о товаре,Замеряю о посмотрю о отпишусь
2068,На лето он полагаю жарковат будет ? ,simpleTree,вопросы о товаре,На лето он полагаю жарковат будет о
